VT("/net15") X,VT("/net15") Y,VT("/net17") X,VT("/net17") Y,VT("/net083") X,VT("/net083") Y
0,7.544791850040983e-07,0,2.22150149998827e-07,0,0.7999978469816118
3.5e-08,7.544791351393475e-07,3.5e-08,2.221501425860253e-07,3.5e-08,0.7999978469814338
1.05e-07,7.544791348861424e-07,1.05e-07,2.22150142561848e-07,1.05e-07,0.7999978469814322
2.45e-07,7.544791381688937e-07,2.45e-07,2.221501430991846e-07,2.45e-07,0.7999978469814413
5.249999999999999e-07,7.54479146878143e-07,5.249999999999999e-07,2.221501445883109e-07,5.249999999999999e-07,0.7999978469814664
9.990000000000001e-07,7.544791551134059e-07,9.990000000000001e-07,2.221501460479399e-07,9.990000000000001e-07,0.799997846981491
9.9900834375e-07,3.532480616404655e-07,9.9900834375e-07,1.39786896451647e-07,9.9900834375e-07,0.7999971418196991
9.990250312499998e-07,3.555255465775837e-07,9.990250312499998e-07,1.831560568838484e-07,9.990250312499998e-07,0.7999968677926518
9.990584062499994e-07,4.12610479869648e-07,9.990584062499994e-07,1.755321951189998e-07,9.990584062499994e-07,0.7999967548136167
9.991251562499987e-07,3.993543617790176e-07,9.991251562499987e-07,1.641572477457694e-07,9.991251562499987e-07,0.7999967822123698
9.992586562499972e-07,4.005653456546085e-07,9.992586562499972e-07,1.690065302036581e-07,9.992586562499972e-07,0.7999967810847892
9.9932240672772e-07,4.296347869006867e-07,9.9932240672772e-07,1.739349639210159e-07,9.9932240672772e-07,0.7999968342354078
9.993831004256184e-07,5.345788388428306e-07,9.993831004256184e-07,1.900829415199444e-07,9.993831004256184e-07,0.7999971047648287
9.994667515462349e-07,1.757689416681819e-06,9.994667515462349e-07,3.835523037232849e-07,9.994667515462349e-07,0.8000001721647974
9.995233041641782e-07,8.337901602573904e-06,9.995233041641782e-07,1.423547746307006e-06,9.995233041641782e-07,0.8000166440497548
9.995388677356862e-07,1.185486292298216e-05,9.995388677356862e-07,2.008668988741564e-06,9.995388677356862e-07,0.8000249486190506
