VT("/net14") X,VT("/net14") Y,VT("/I0/net18") X,VT("/I0/net18") Y,VT("/net16") X,VT("/net16") Y,VT("/net17") X,VT("/net17") Y
0,4.192806681811384e-07,0,3.164397019814513e-07,0,1.95094171920375e-07,0,2.22150149998827e-07
3.5e-08,4.192806472066138e-07,3.5e-08,3.16439689207471e-07,3.5e-08,1.950941670367768e-07,3.5e-08,2.221501425860253e-07
1.05e-07,4.1928064837784e-07,1.05e-07,3.164396892493159e-07,1.05e-07,1.950941670191099e-07,1.05e-07,2.22150142561848e-07
2.45e-07,4.192806514128459e-07,2.45e-07,3.164396903570217e-07,2.45e-07,1.950941674519473e-07,2.45e-07,2.221501430991846e-07
5.249999999999999e-07,4.192806557621991e-07,5.249999999999999e-07,3.164396928220901e-07,5.249999999999999e-07,1.950941681949243e-07,5.249999999999999e-07,2.221501445883109e-07
9.990000000000001e-07,4.192806583116166e-07,9.990000000000001e-07,3.164396954306728e-07,9.990000000000001e-07,1.950941690116586e-07,9.990000000000001e-07,2.221501460479399e-07
9.9900834375e-07,2.368535192626365e-07,9.9900834375e-07,1.740661025001459e-07,9.9900834375e-07,1.187521800000308e-07,9.9900834375e-07,1.39786896451647e-07
9.990250312499998e-07,2.669510520291022e-07,9.990250312499998e-07,2.356198562738738e-07,9.990250312499998e-07,1.667466955337088e-07,9.990250312499998e-07,1.831560568838484e-07
9.990584062499994e-07,2.792034441282412e-07,9.990584062499994e-07,2.369398261959256e-07,9.990584062499994e-07,1.609957962297218e-07,9.990584062499994e-07,1.755321951189998e-07
9.991251562499987e-07,2.657749507710447e-07,9.991251562499987e-07,2.161750816351547e-07,9.991251562499987e-07,1.569078994426967e-07,9.991251562499987e-07,1.641572477457694e-07
9.992586562499972e-07,2.705289764582239e-07,9.992586562499972e-07,2.242315305016541e-07,9.992586562499972e-07,1.615112883500756e-07,9.992586562499972e-07,1.690065302036581e-07
9.9932240672772e-07,2.829824746904011e-07,9.9932240672772e-07,2.334654349952573e-07,9.9932240672772e-07,1.642322607264991e-07,9.9932240672772e-07,1.739349639210159e-07
9.993831004256184e-07,3.271383772579774e-07,9.993831004256184e-07,2.618258615845087e-07,9.993831004256184e-07,1.773008600739066e-07,9.993831004256184e-07,1.900829415199444e-07
9.994667515462349e-07,8.459774121090123e-07,9.994667515462349e-07,6.026467808512491e-07,9.994667515462349e-07,3.355844395317759e-07,9.994667515462349e-07,3.835523037232849e-07
9.995233041641782e-07,3.636121872417153e-06,9.995233041641782e-07,2.435666411299635e-06,9.995233041641782e-07,1.188198185270315e-06,9.995233041641782e-07,1.423547746307006e-06
9.995388677356862e-07,5.14217554809058e-06,9.995388677356862e-07,3.461457374119463e-06,9.995388677356862e-07,1.755073817939477e-06,9.995388677356862e-07,2.008668988741564e-06
9.995466495214403e-07,5.203825113713429e-06,9.995466495214403e-07,3.354495594850464e-06,9.995466495214403e-07,1.580410064575739e-06,9.995466495214403e-07,1.925657245147394e-06
9.995622130929485e-07,2.073593488744337e-06,9.995622130929485e-07,7.968056570850973e-07,9.995622130929485e-07,8.298115876893702e-08,9.995622130929485e-07,4.757263081302507e-07
9.995751375342299e-07,-1.639846043725834e-06,9.995751375342299e-07,-1.652245461151972e-06,9.995751375342299e-07,-1.776052123935028e-06,9.995751375342299e-07,-8.390426279268339e-07
9.995806203063914e-07,-7.866697994264873e-08,9.995806203063914e-07,2.796338343300916e-07,9.995806203063914e-07,-2.147077307119233e-06,9.995806203063914e-07,4.629060345342276e-07
9.995877340511692e-07,-3.158060464602209e-06,9.995877340511692e-07,-2.46280347403209e-06,9.995877340511692e-07,-4.675789184736617e-06,9.995877340511692e-07,-1.404167714433967e-06
9.995912575874081e-07,-7.336636069695398e-06,9.995912575874081e-07,-6.162110941074788e-06,9.995912575874081e-07,-6.601078307320655e-06,9.995912575874081e-07,-3.651940664274646e-06
9.995979964901014e-07,-1.474800722404002e-05,9.995979964901014e-07,-1.138231089276839e-05,9.995979964901014e-07,-9.227588457199139e-06,9.995979964901014e-07,-6.366415744636916e-06
9.9961013455164e-07,-2.723696656555393e-05,9.9961013455164e-07,-1.892013187877313e-05,9.9961013455164e-07,-1.315578499000977e-05,9.9961013455164e-07,-1.043251325112427e-05
