VT("/net2") X,VT("/net2") Y,VT("/net7") X,VT("/net7") Y,VT("/net14") X,VT("/net14") Y,VT("/net039") X,VT("/net039") Y,VT("/net069") X,VT("/net069") Y
0,3.748759585001909e-07,0,5.231730881928372e-07,0,4.192806681811384e-07,0,5.668264659782656e-07,0,5.892072943028595e-07
3.5e-08,3.748759373702994e-07,3.5e-08,5.231730482067598e-07,3.5e-08,4.192806472066138e-07,3.5e-08,5.668264272872608e-07,3.5e-08,5.892072557156963e-07
1.05e-07,3.74875937535616e-07,1.05e-07,5.231730478321419e-07,1.05e-07,4.1928064837784e-07,1.05e-07,5.668264271923629e-07,1.05e-07,5.892072563835829e-07
2.45e-07,3.748759391928641e-07,2.45e-07,5.231730507921719e-07,2.45e-07,4.192806514128459e-07,2.45e-07,5.668264302866471e-07,2.45e-07,5.892072599374796e-07
5.249999999999999e-07,3.748759434053633e-07,5.249999999999999e-07,5.231730581324878e-07,5.249999999999999e-07,4.192806557621991e-07,5.249999999999999e-07,5.668264374150594e-07,5.249999999999999e-07,5.892072670589039e-07
9.990000000000001e-07,3.748759473473494e-07,9.990000000000001e-07,5.231730649155007e-07,9.990000000000001e-07,4.192806583116166e-07,9.990000000000001e-07,5.668264443897652e-07,9.990000000000001e-07,5.89207273430382e-07
9.9900834375e-07,-0.000273709971060243,9.9900834375e-07,2.261391529613554e-07,9.9900834375e-07,2.368535192626365e-07,9.9900834375e-07,2.264999777398996e-07,9.9900834375e-07,2.480756753659405e-07
9.990250312499998e-07,-0.0004079736373384369,9.990250312499998e-07,2.360755899177578e-07,9.990250312499998e-07,2.669510520291022e-07,9.990250312499998e-07,2.697123687157129e-07,9.990250312499998e-07,2.936516660290176e-07
9.990584062499994e-07,-0.0004002798009521834,9.990584062499994e-07,2.421771801820848e-07,9.990584062499994e-07,2.792034441282412e-07,9.990584062499994e-07,3.101879055157394e-07,9.990584062499994e-07,3.347040699825864e-07
9.991251562499987e-07,-0.0004009359454072883,9.991251562499987e-07,2.320213069488113e-07,9.991251562499987e-07,2.657749507710447e-07,9.991251562499987e-07,2.828718529820478e-07,9.991251562499987e-07,3.056953773112561e-07
9.992586562499972e-07,-0.000473151997496875,9.992586562499972e-07,2.365536441855075e-07,9.992586562499972e-07,2.705289764582239e-07,9.992586562499972e-07,2.904706613429051e-07,9.992586562499972e-07,3.139545539214046e-07
9.9932240672772e-07,-9.646268627727081e-05,9.9932240672772e-07,2.567192000834456e-07,9.9932240672772e-07,2.829824746904011e-07,9.9932240672772e-07,3.153523906897342e-07,9.9932240672772e-07,3.390157142992627e-07
9.993831004256184e-07,0.002751278874148241,9.993831004256184e-07,3.382409651111921e-07,9.993831004256184e-07,3.271383772579774e-07,9.993831004256184e-07,3.974847048139899e-07,9.993831004256184e-07,4.208167376327746e-07
9.994667515462349e-07,0.03453469176835085,9.994667515462349e-07,1.283910900218936e-06,9.994667515462349e-07,8.459774121090123e-07,9.994667515462349e-07,1.36626130564484e-06,9.994667515462349e-07,1.387031343635366e-06
9.995233041641782e-07,0.2012005580301082,9.995233041641782e-07,6.366973957600512e-06,9.995233041641782e-07,3.636121872417153e-06,9.995233041641782e-07,6.578641785792929e-06,9.995233041641782e-07,6.585722153391531e-06
9.995388677356862e-07,0.2748816872891569,9.995388677356862e-07,9.05488951187614e-06,9.995388677356862e-07,5.14217554809058e-06,9.995388677356862e-07,9.390620871964075e-06,9.995388677356862e-07,9.393018395302615e-06
9.995466495214403e-07,0.3182480445103048,9.995466495214403e-07,9.358988966565326e-06,9.995466495214403e-07,5.203825113713429e-06,9.995466495214403e-07,9.533268606550749e-06,9.995466495214403e-07,9.525811843196857e-06
9.995622130929485e-07,0.4058033048334919,9.995622130929485e-07,4.5544872570155e-06,9.995622130929485e-07,2.073593488744337e-06,9.995622130929485e-07,3.62126849020373e-06,9.995622130929485e-07,3.585556961678173e-06
9.995751375342299e-07,0.4756848457806884,9.995751375342299e-07,-1.864447435314334e-06,9.995751375342299e-07,-1.639846043725834e-06,9.995751375342299e-07,-3.496794080501568e-06,9.995751375342299e-07,-3.521465837415152e-06
