VT("/net064") X,VT("/net064") Y,VT("/net017") X,VT("/net017") Y,VT("/net072") X,VT("/net072") Y,VT("/net037") X,VT("/net037") Y,VT("/I70/I0/net44") X,VT("/I70/I0/net44") Y,VT("/I70/I0/net56") X,VT("/I70/I0/net56") Y
0,1.201425819695031e-06,0,1.447174425094392e-06,0,8.393772461329175e-07,0,4.67607096312166e-07,0,1.162831014595643e-06,0,0.7999980380896219
3.5e-08,1.201425740538243e-06,3.5e-08,1.447174344160891e-06,3.5e-08,8.393771810278848e-07,3.5e-08,4.676070650027969e-07,3.5e-08,1.162830922017785e-06,3.5e-08,0.7999980380894367
1.05e-07,1.201425740521245e-06,1.05e-07,1.447174343902044e-06,1.05e-07,8.393771808079172e-07,1.05e-07,4.676070649511486e-07,1.05e-07,1.162830921748915e-06,1.05e-07,0.7999980380894345
2.45e-07,1.201425746487094e-06,2.45e-07,1.447174349021526e-06,2.45e-07,8.393771855041307e-07,2.45e-07,4.676070671674065e-07,2.45e-07,1.162830928804056e-06,2.45e-07,0.7999980380894439
5.249999999999999e-07,1.201425761595126e-06,5.249999999999999e-07,1.447174363596126e-06,5.249999999999999e-07,8.393771974709641e-07,5.249999999999999e-07,4.676070727748128e-07,5.249999999999999e-07,1.162830945850129e-06,5.249999999999999e-07,0.7999980380894703
9.990000000000001e-07,1.201425775500558e-06,9.990000000000001e-07,1.447174377397594e-06,9.990000000000001e-07,8.393772089280957e-07,9.990000000000001e-07,4.676070784662357e-07,9.990000000000001e-07,1.162830962232691e-06,9.990000000000001e-07,0.7999980380894955
9.9900834375e-07,7.069955629171058e-07,9.9900834375e-07,8.960732183450183e-07,9.9900834375e-07,3.636150816974722e-07,9.9900834375e-07,1.46621141526771e-07,9.9900834375e-07,5.422011547832015e-07,9.9900834375e-07,0.7999972988029646
9.990250312499998e-07,5.773272197526189e-07,9.990250312499998e-07,8.064748868028464e-07,9.990250312499998e-07,3.373342614819549e-07,9.990250312499998e-07,2.325860244154363e-07,9.990250312499998e-07,4.360255788142074e-07,9.990250312499998e-07,0.7999969739363306
9.990584062499994e-07,6.17301376435e-07,9.990584062499994e-07,8.585732582290097e-07,9.990584062499994e-07,3.796847503807531e-07,9.990584062499994e-07,2.687303825373369e-07,9.990584062499994e-07,4.97286350896504e-07,9.990584062499994e-07,0.7999968328838125
9.991251562499987e-07,6.597322101846894e-07,9.991251562499987e-07,8.843501392051527e-07,9.991251562499987e-07,3.763977630748315e-07,9.991251562499987e-07,2.302087260877114e-07,9.991251562499987e-07,5.134070355242815e-07,9.991251562499987e-07,0.7999968822349751
9.992586562499972e-07,6.4408087389677e-07,9.992586562499972e-07,8.758619093776479e-07,9.992586562499972e-07,3.763147362433029e-07,9.992586562499972e-07,2.431456488268713e-07,9.992586562499972e-07,5.052780162106932e-07,9.992586562499972e-07,0.7999968810307556
9.9932240672772e-07,6.754846967402449e-07,9.9932240672772e-07,9.110708285154554e-07,9.9932240672772e-07,4.092581502642489e-07,9.9932240672772e-07,2.657263119029538e-07,9.9932240672772e-07,5.488347058089201e-07,9.9932240672772e-07,0.7999969326326269
9.993831004256184e-07,8.35592417176778e-07,9.993831004256184e-07,1.077313876539477e-06,9.993831004256184e-07,5.431841556572689e-07,9.993831004256184e-07,3.347419883238224e-07,9.993831004256184e-07,7.365716432499431e-07,9.993831004256184e-07,0.7999972265014605
9.994667515462349e-07,2.649194679549256e-06,9.994667515462349e-07,2.978477462476078e-06,9.994667515462349e-07,2.090644470427938e-06,9.994667515462349e-07,1.160252704030782e-06,9.994667515462349e-07,2.89107762002429e-06,9.994667515462349e-07,0.8000005497073541
9.995233041641782e-07,1.239473375871958e-05,9.995233041641782e-07,1.319556037622393e-05,9.995233041641782e-07,1.041061475288952e-05,9.995233041641782e-07,5.601988258802594e-06,9.995233041641782e-07,1.447376319976164e-05,9.995233041641782e-07,0.8000183872925886
9.995388677356862e-07,1.742660191448242e-05,9.995388677356862e-07,1.852288012201425e-05,9.995388677356862e-07,1.479200328341534e-05,9.995388677356862e-07,8.047698077537568e-06,9.995388677356862e-07,2.050655813751035e-05,9.995388677356862e-07,0.8000273419808211
